Marine_environment	Environment	stID	tsID	popID	filename	description	citation	URL	total_N	steps	interval_MY	trait_type	log_transformed	taxa	species	microfossil	sampling	age_model	sediment	environment2	period_start	period_end	epoch_start	epoch_end	age_start	age_end	source	publication_year	signature	lat	lon	set
unsure	lacustrine	33	702	33_a	Theriot_et_al_2006_spines	Stephanodiscus yellowstonensis. Number of spines per valve.	"Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54."	https://doi.org/10.1666/02075.1	2804	63	0.013728276	count	no	diatom	Stephanodiscus_yellowstonensis	yes	sediment core	NA	unknown	lacustrine	Quaternary	Quaternary	Holocene	Holocene	Greenlandian	present	unknown	2006	unknown	44.43776932	-110.3322579	yes
unsure	lacustrine	33	701	33_a	Theriot_et_al_2006_ribs	Stephanodiscus yellowstonensis. Number of ribs per valve.	"Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54."	https://doi.org/10.1666/02075.1	2804	63	0.013728276	count	no	diatom	Stephanodiscus_yellowstonensis	yes	sediment core	NA	unknown	lacustrine	Quaternary	Quaternary	Holocene	Holocene	Greenlandian	present	unknown	2006	unknown	44.43776932	-110.3322579	yes
unsure	lacustrine	33	700	33_a	Theriot_et_al_2006_diameter	Stephanodiscus yellowstonensis. Valve diameter (um).	"Theriot, E. C., S. C. Fritz, C. Whitlock, and D. J. Conley. 2006. Late Quaternary rapid morphological evolution of an endemic diatom in Yellowstone Lake, Wyoming. Paleobiology 32:38-54."	https://doi.org/10.1666/02075.1	2804	63	0.013728276	linear	no	diatom	Stephanodiscus_yellowstonensis	yes	sediment core	NA	unknown	lacustrine	Quaternary	Quaternary	Holocene	Holocene	Greenlandian	present	unknown	2006	unknown	44.43776932	-110.3322579	yes
benthic	marine	100	662	100_a	Baumfalk_aubeterell2-Lo	"Orbitoides media, mean of L0 (largest diameter of the embryon, aubeterre II. "	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	746	27	1.376995074	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	661	100_a	Baumfalk_aubeterell2-mC	"Orbitoides media, average number of the closing chambers, aubeterre II. "	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	746	27	1.369883005	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	660	100_b	Baumfalk_aubeterell1-Lo	"Orbitoides media, mean of L0 (largest diameter of the embryon, aubeterre I."	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	542	19	1.123245074	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	659	100_b	Baumfalk_aubeterell1-mC	"Orbitoides media, average number of the closing chambers, aubeterre I."	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	542	19	1.117487685	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	658	100_c	Baumfalk_suzac_Lo	"Orbitoides media, mean of L0 (largest diameter of the embryon), suzac section"	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	578	18	1.127432266	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
benthic	marine	100	657	100_c	Baumfalk_suzac_mC	"Orbitoides media, average number of the closing chambers), suzac section"	"Baumfald, Ynze A. ""The evolution of Orbitoides media (Foraminiferida) in the Late Campanian."" The Journal of Foraminiferal Research 16.4 (1986): 293-312."	not available online (loaned from the Royal Danish Library)	578	18	1.125166256	linear	no	foram	Orbitoides media	yes	geological fieldwork	NA	carbonate	marine	Cretaceous	Cretaceous	Late Cretaceous	Late Cretaceous	Campanian	Campanian	HuntDB	1986	MFA	45.27037226	0.169335829	yes
planktic	marine	101	656	101_a	Spaak_capo	"diameter Orbulina universa, Capo Rossello"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	570	19	2.131783784	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	marl	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	37.3	13.45	no
planktic	marine	101	655	101_b	Spaak_finikia	"diameter Orbulina universa, Finikia"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	840	28	3.729778723	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	marl	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	36.59	25.39	no
planktic	marine	101	654	101_c	spaak_kalithea1	"diameter Orbulina universa, kalithea 1"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	240	8	0.210387234	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	mixed	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	35.24	24.81	no
planktic	marine	101	653	101_d	spaak_kalithea2	"diameter Orbulina universa, kalithea 2"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	570	19	0.635325064	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	mixed	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	35.24	24.81	no
planktic	marine	101	652	101_e	spaak_kalithea3	"diameter Orbulina universa, kalithea 3"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	390	13	0.435348766	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	mixed	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	35.24	24.81	no
planktic	marine	101	651	101_f	spaak_kalithea4	"diameter Orbulina universa, kalithea 4"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	900	30	0.483238298	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	mixed	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	35.24	24.81	no
planktic	marine	101	650	101_g	spaak_Lido	"diameter Orbulina universa, Lido Rosello"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	1080	36	2.509074324	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	marl	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	37.3	13.45	no
planktic	marine	101	649	101_h	spaak_punta	"diameter Orbulina universa, punta di maiata"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	1140	38	3.966351351	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	marl	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	37.3	13.45	no
planktic	marine	101	648	101_i	spaak_vrica	"diameter Orbulina universa, vrica"	"Spaak, Pieter. Accuracy in correlation and ecological aspects of the planktonic foraminiferal zonation of the Mediterranean Pliocene. Diss. Utrecht University, 1982."	https://dspace.library.uu.nl/handle/1874/205886	1110	37	9.377793581	linear	no	foram	Orbitulina universa	yes	geological fieldwork	NA	marl	marine	Neogene	Neogene	Miocene	Pliocene	Messinian	Holocene	HuntDB	1982	MFA	38.25	16.28	no
planktic	marine	102	647	102_a	Dzik_2008_width	"Tripodellus schleizius-gracilis, basal cone width. "	"Dzik, Jerzy. ""Evolution of morphogenesis in 360?million?year?old conodont chordates calibrated in days."" Evolution & Development 10.6 (2008): 769-777."	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1525-142X.2008.00291.x	99	19	7.25	linear	no	conodont	Tripodellus schleizius-gracilis	yes	geological fieldwork	NA	carbonate	marine	Devonian	Devonian	Late Devonian	Late Devonian	Famennian	Famennian	HuntDB	2008	MFA	50.47	20.33	no
benthic	marine	104	646	104_a	Drooger_potamidha_Y	"Planorbulinella rokae-astriki-caneae, the number of chambers in the initial spiral which have only one proximal stolon, starting to count from the protoconch (Y). Pothamida section. Note time model: evolution of Planorbulinella where sampled believed to take place over Tortonian (Miocene) [see Freudenthal 1969]  so estimated to be 4 million years long"	"Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21."	NA	1214	38	3.996625	count	no	foram	Planorbulinella rokae-astriki-caneae	yes	geological fieldwork	NA	clay	marine	Neogene	Neogene	Miocene	Miocene	Tortonian	Tortonian	HuntDB	1979	MFA	35.47	23.7	yes
benthic	marine	104	645	104_b	Drooger_apostoli_Y	"Planorbulinella rokae-astriki-caneae, the number of chambers in the initial spiral which have only one proximal stolon, starting to count from the protoconch (Y). Apostoli section. Note time model: evolution of Planorbulinella where sampled believed to take place over Tortonian (Miocene) [see Freudenthal 1969], so estimated to be 4 million years long"	"Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21."	NA	1238	42	4.00531726	count	no	foram	Planorbulinella rokae-astriki-caneae	yes	geological fieldwork	NA	clay	marine	Neogene	Neogene	Miocene	Miocene	Tortonian	Tortonian	HuntDB	1979	MFA	35.24	25.3	yes
benthic	marine	104	644	104_a	Drooger_potamidha_d12	"Planorbulinella rokae-astriki-caneae, the diameter of protoconch and deuteroconch together, measured along the line through their imaginary centres, the wall thicknesses being excluded, except for the wall separating both primordial chambers. values are expressed in  æ. potamidha section. Note time model: evolution of Planorbulinella where sampled believed to take place over Tortonian (Miocene) [see Freudenthal 1969],  so estimated to be 4 million years long"	"Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21."	NA	1214	38	3.996625	linear	no	foram	Planorbulinella rokae-astriki-caneae	yes	geological fieldwork	NA	clay	marine	Neogene	Neogene	Miocene	Miocene	Tortonian	Tortonian	HuntDB	1979	MFA	35.47	23.7	yes
benthic	marine	104	643	104_b	Drooger_apostoli_d12	"Planorbulinella rokae-astriki-caneae, the diameter of protoconch and deuteroconch together, measured along the line through their imaginary centres, the wall thicknesses being excluded, except for the wall separating both primordial chambers. values are expressed in  æ. apostoli section. Note time model: evolution of Planorbulinella where sampled believed to take place over Tortonian (Miocene) [see Freudenthal 1969], but this section slightly shorter than Potamidha section, so estimated to be 4 million years long"	"Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21."	NA	1238	42	4.00531726	linear	no	foram	Planorbulinella rokae-astriki-caneae	yes	geological fieldwork	NA	clay	marine	Neogene	Neogene	Miocene	Miocene	Tortonian	Tortonian	HuntDB	1979	MFA	35.24	25.3	yes
benthic	marine	104	642	104_a	Drooger_podamidha_P	"Planorbulinella rokae-astriki-caneae, the number of (budding) steps in the chamber formation from the protoconch up to and including the common closing chamber at the end of the two oppositely directed spirals originating from the first chamber with two stolons. podamidha section. Note time model: evolution of Planorbulinella where sampled believed to take place over Tortonian (Miocene) [see Freudenthal 1969]  so estimated to be 4 million years long"	"Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21."	NA	1214	38	3.996625	count	no	foram	Planorbulinella rokae-astriki-caneae	yes	geological fieldwork	NA	clay	marine	Neogene	Neogene	Miocene	Miocene	Tortonian	Tortonian	HuntDB	1979	MFA	35.37	23.7	yes
benthic	marine	104	641	104_b	Drooger_podamidha_Y-R	"Planorbulinella rokae-astriki-caneae, Y-R (Y=the number of chambers in the initial spiral which have only one proximal stolon, starting to count from the protoconch R= the number of chambers in the spirals originating from the first chamber with two stolons, which again lack the second stolon. podamidha section. Note time model: evolution of Planorbulinella where sampled believed to take place over Tortonian (Miocene) [see Freudenthal 1969]"	"Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21."	NA	1214	38	3.996625	count	no	foram	Planorbulinella rokae-astriki-caneae	yes	geological fieldwork	NA	clay	marine	Neogene	Neogene	Miocene	Miocene	Tortonian	Tortonian	HuntDB	1979	MFA	35.47	23.7	yes
benthic	marine	104	640	104_b	Drooger_Apostoli_YhalfR	"Planorbulinella rokae-astriki-caneae, Y+1/2R (Y=the number of chambers in the initial spiral which have only one proximal stolon, starting to count from the protoconch R= the number of chambers in the spirals originating from the first chamber with two stolons, which again lack the second stolon. apostoli section. Note time model: evolution of Planorbulinella where sampled believed to take place over Tortonian (Miocene) [see Freudenthal 1969] but this section slightly shorter than Potamidha section, so estimated to be 4 million years long"	"Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21."	NA	1238	42	4.00531726	count	no	foram	Planorbulinella rokae-astriki-caneae	yes	geological fieldwork	NA	clay	marine	Neogene	Neogene	Miocene	Miocene	Tortonian	Tortonian	HuntDB	1979	MFA	35.24	25.3	yes
benthic	marine	104	639	104_a	Drooger_potamidha_YhalfR	"Planorbulinella rokae-astriki-caneae, Y+1/2R (Y=the number of chambers in the initial spiral which have only one proximal stolon, starting to count from the protoconch R= the number of chambers in the spirals originating from the first chamber with two stolons, which again lack the second stolon. Potamidha section. Note time model: evolution of Planorbulinella where sampled believed to take place over Tortonian (Miocene) [see Freudenthal 1969] ,  so estimated to be 4 million years long"	"Drooger, C. W., Meulenkamp, J. E., Langereis, C. G., Wonders, A. A. H., Van der Zwaan, G. J., Drooger, M. M., ... & Zijderveld, J. D. A. (1979). Problems of detailed biostratigraphic and magnetostratigraphic correlation in the Potamidha and Apostoli sections of the Cretan Neogene. Utrecht micropaleontological bulletins, 21."	NA	1214	38	3.996625	count	no	foram	Planorbulinella rokae-astriki-caneae	yes	geological fieldwork	NA	clay	marine	Neogene	Neogene	Miocene	Miocene	Tortonian	Tortonian	HuntDB	1979	MFA	35	23.7	yes
planktic	marine	106	632	106_a	sorhannus_bergonii_AL_157	"Rhizosolenia bergonii, length of apical spine, site 157"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	750	25	1.0232234	linear	no	diatom	Rhizosolenia bergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	4.75	-88.3	yes
planktic	marine	106	631	106_c	sorhannus_praebergonii_AL_RC1266	"Rhizosolenia praebergonii, length of the apical spine, site RC1266"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	750	25	1.4330212	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	3.23	-173.3	yes
planktic	marine	106	630	106_e	sorhannus_praebergonii_AL_V28	"Rhizosolenia praebergonii, length of the apical spine, site V28"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	390	13	0.5818308	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	2.46	-145.71	yes
planktic	marine	106	629	106_a	sorhannus_praebergonii_HH_157	"Rhizosolenia praebergonii, heigth of the hyaline area, site 157"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	780	26	1.0828314	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	4.75	-88.3	yes
planktic	marine	106	628	106_d	sorhannus_praebergonii_HH_572	"Rhizosolenia praebergonii, heigth of the hyaline area, site 572"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	540	18	1.1263977	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	3.42	-117.15	yes
planktic	marine	106	627	106_b	sorhannus_praebergonii_HH_573	"Rhizosolenia praebergonii, heigth of the hyaline area, site 573"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	810	27	1.353352	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	0.53	-145.71	yes
planktic	marine	106	626	106_c	sorhannus_praebergonii_HH_RC1266	"Rhizosolenia praebergonii, heigth of the hyaline area, site RC1288"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	750	25	1.4322525	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	3.23	-173.3	yes
planktic	marine	106	625	106_e	sorhannus_praebergonii_HH_V28	"Rhizosolenia praebergonii, heigth of the hyaline area, site V28"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	390	13	0.5787007	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	2.46	-145.71	yes
planktic	marine	106	624	106_b	sorhannus_bergonii_AL_573	"Rhizosolenia bergonii, length of apical spine, site 573"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	690	23	1.436034	linear	no	diatom	Rhizosolenia bergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	0.53	-145.71	yes
planktic	marine	106	623	106_c	sorhannus_bergonii_AL_RC1266	"Rhizosolenia bergonii, length of apical spine, site RC1266"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	540	18	1.6974757	linear	no	diatom	Rhizosolenia bergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	3.23	-173.3	yes
planktic	marine	106	622	106_a	sorhannus_bergonii_HH_157	"Rhizosolenia bergonii, height of the hyaline area, site 157"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	750	25	1.3768218	linear	no	diatom	Rhizosolenia bergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	4.75	-88.3	yes
planktic	marine	106	621	106_b	sorhannus_bergonii_HH_573	"Rhizosolenia bergonii, height of the hyaline area, site 573"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	690	23	1.61977	linear	no	diatom	Rhizosolenia bergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	0.53	-145.71	yes
planktic	marine	106	620	106_c	sorhannus_bergonii_HH_RC1266	"Rhizosolenia bergonii, height of the hyaline area, site RC1288"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	540	18	1.6978411	linear	no	diatom	Rhizosolenia bergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	3.23	-173.3	yes
planktic	marine	106	619	106_a	sorhannus_praebergonii_AL_157	"Rhizosolenia praebergonii, length of the apical spine, site 157"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	690	23	1.3827738	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	4.75	-88.3	yes
planktic	marine	106	618	106_d	sorhannus_praebergonii_AL_572	"Rhizosolenia praebergonii, length of the apical spine, site 572"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	570	19	1.1314319	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	3.42	-117.15	yes
planktic	marine	106	617	106_b	sorhannus_praebergonii_AL_573	"Rhizosolenia praebergonii, length of the apical spine, site 573"	"Sorhannus, U., E. J. Fenster, L. H. Burckle, and A. Hoffman. 1988. Cladogenetic and anagenetic changes in the morphology of Rhizosolenia praebergonii Mukhina. Historical Biology 1:185-206."	https://www.tandfonline.com/doi/abs/10.1080/08912968809386474	840	28	1.1943637	linear	no	diatom	Rhizosolenia praebergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1988	MFA	0.53	-145.71	yes
planktic	marine	107	616	107_a	sorhannus_bergonii_VW_Indian	"Rhizosolenia bergonii, valve width, Indian ocean"	"Fenster, E. J., and U. Sorhannus. 1991. On the measurement of morphological rates of evolution: a review. Evolutionary Biology 25:375-410."	NA	390	13	1.06094	linear	no	diatom	Rhizosolenia bergonii	yes	sediment core	NA	unknown	marine planktic	Neogene	Quaternary	Pliocene	Pleistocene	Piacenzian	Gelasian	HuntDB	1990	MFA	-4.73	87.45	yes
